cdsid,team name,role
aagrawal,Uptime,
aanders1,Upfitter Enablement,
aanderso,Fulfillment,
abrooks,Inventory Management,
abrown,Upfitter Enablement,
abrown1,Payment,
abrown2,Quote to Order,
abrown3,Incident Management,
abrown4,CCoE Analytics,
abrown4,Data Science,
abutler,Access Management,
achoudh1,Productivity,
achoudhu,CRM Customer Data,
achoudhu,Integrated Campaign Analytics,
achoudhu,Marketing & CX,
adavis,Productivity,
adavis1,BEV Fit Tools,
adeshpan,Case Management Workflows,
afoster1,Marketplace,
agupta,Fleet.ford.com,
agupta1,"Authenticated Customer, Fleet Site Migration",
agupta2,NA Commercial Deals,
aharris,Configure Price Quote,
aharris1,Case Management Workflows,
aharris2,Drive & Operate,
aharris3,DevSecOps Enablement,
aharris4,Online Marketplace,
aharris5,Reports & Dashboards,
ahughes,Maintain & Repair,
ahughes,Mobile Service NA,
aiyer,DevSecOps Enablement,
ajohnso2,Tools App,
ajohnso3,FORDLiive EU,
ajohnso4,Sales Solutions,
ajohnson,Incentives and Bids,
ajones,Agent Led Sales,
ajones,Dealer Led Sales,
ajones1,Government Deals,
ajones2,Productivity,
ajones3,FORDLiive EU,
ajones3,FORDLiive Global (Fleet & Service),
ajones3,FORDLiive – Dealer Availability Display (DAD),
ajones3,FORDLiive+ Customer Value Demonstrator (CVD),
ajoshi,B2BCRM,
ajoshi,Dealer Led Sales,
ajoshi,EU Commercial Deals,
ajoshi,Incentive & Bids Dashboards,
ajoshi1,Incentive & Bids Dashboards,
ajoshi1,Vehicle Order Status,
akapoor,Subscription Management,
akapoor1,Agent Led Sales,
akapoor2,Productivity,
akapoor3,Subscription Management,
akhanna,Charging Metrics,
akumar,Title & Registration Services,
akumar2,Content Management (AEM for authoring and CMS),
alewis,Service & Parts Metrics,
amalik,eCommerce,
amartin1,Observability,
amartin2,FORDLiive EU,
amartin3,CADB migration,
amartine,Vehicle Storefront,
amehta,CRM Pre-Build,
amehta,Salesforce Data Interface,
amehta,Salesforce Enablement,
amiller,Mobile Service EU,
amiller1,User Growth,
amiller2,Salesforce Data Interface,
amiller3,Productivity,
amiller4,Government Deals,
amishra,Service Cloud Integrations,
amurthy,Software Subscriptions,
anair,Productivity,
apatel,User Growth,
apatel1,Reports & Dashboards,
apatel2,Model Ops,
aprice,Observability,
arao,Dealer Led Sales,
arao1,Data Ingestion and Transformation,
areddy,Fleet Customer Management,
areddy1,Content and Brand Marketing,
areddy2,CRM Foundations,
asaxena,Software Fulfillment,
asharma,Equipment Management,
asharma1,Managed Maintenance,
asingh,Ford Pro Gateway,
asingh1,Catalog Management,
asinha,Subscription Management,
asmith,Ordering,
asmith,Quote to Order,
asmith1,CRM Data Interfaces,
asmith3,Case Management Workflows,
asmith4,Billing & Payments,
asmith4,Business Intelligence,
asmith4,Service & Parts Metrics,
asmith5,Data Science,
asmith5,ProTech GPT,
asmith6,Dealer Led Sales,
asmith7,Data Science - Service & Parts,
asmith8,Tools App,
asmith9,Mobile App,
ataylor,Quote to Order,
ataylor1,Search & Locate,
ataylor2,CRM Pre-Build,
ataylor3,Drive & Operate,
ataylor4,Access Management,
ataylor5,"Authenticated Customer, Fleet Site Migration",
atiwari,Inventory Management,
averma,Search & Locate,
averma1,Incident Management,
awhite,NA Commercial Deals,
awilson,Subscription Management,
awright,Uptime,
banders1,Content and Brand Marketing,
banderso,CRM Customer Data,
bbrown,CRM Data Quality,
bbrown,Incentive & Bids Dashboards,
bbrown1,Service & Parts Metrics,
bdavis,User Growth,
bdavis1,Integrated Campaign Analytics,
bdavis2,Platform Enablement,
bharris,Site Analytics,
bharris1,Marketplace,
bharris1,Sales Solutions,
bharris2,User Growth,
bjones,User Growth,
bjones1,Customer Profiling,
bmartine,Data Ops,
bmiller,CRM Pre-Build,
bmurphy,Customer Profiling,
bmurphy,Data Science - Service & Parts,
bmurphy,Vehicle Charging & Utilization,
bsingh,Equipment Management,
bsmith,Web App,
bsmith1,Site Analytics,
btaylor1,Integrated Campaign Analytics,
btaylor2,Content Management (AEM for authoring and CMS),
bwilson1,Fleet Entity Management,
bwright,Storefront,
bwright,Vehicle Sales,
cagrawal,Fleet.ford.com,
cagrawal,Tools App,
callen,Security Protection and Monitoring,
canders1,Content and Brand Marketing,
canderso,Subscription Management,
cbennett,Pro 360 API,
cbrown,Software Subscriptions,
cclark,Fleet.ford.com,
ccook,Platform Enablement,
cdavis,Incentive & Bids Dashboards,
charris,Configure Price Quote,
charris1,Agent Led Sales,
charris2,Software Fulfillment,
charris3,Search & Locate,
cjohnso1,Dealer Led Sales,
cjohnso2,Fleet Parts & Services Billing,
cjohnson,Storefront,
cjones,DaaS - Service cloud,
cjones,Salesforce Data Interface,
ckapoor,"Authenticated Customer, Fleet Site Migration",
cmalhotr,Observability,
cmartine,EU Commercial Deals,
cmiller,ProTech GPT,
cmiller1,Build and Price,
cmiller1,Vehicle Storefront,
cmiller2,Access Management,
cmurphy,Pro 360 API,
csmith,Drive & Operate,
csmith3,Software Fulfillment,
csmith4,Security Enablement,
ctaylor,Metrics Engineering and Tools,
ctaylor1,Ordering,
ctaylor1,Quote to Order,
ctaylor2,CRM Customer Data,
cwillia1,Sales & Service Cloud,
cwilliam,Integrated Customer Experience,
cwilson,eCommerce,
cwilson1,Vehicle Sales Interface,
danders1,CRM Pre-Build,
danders2,CADB migration,
dbajaj,Sales & Service Cloud,
dbrown,Platform Validation,
dbrown1,Productivity,
dbrown2,Ford Pro Gateway,
ddavis,Configure Price Quote,
dfoster,Tools App,
dharris,CADB migration,
dharris1,Ford Pro Gateway,
dharris2,CADB migration,
diyer,Cybersecurity,
djohnso1,FordLiive Retooling,
djohnson,CADB migration,
djones1,Ford Pro Gateway,
djones2,Pro 360 API,
dmalhotr,Inventory Management,
dmartin1,Uptime,
dmartine,Data Ops,
dmiller,Productivity,
dmiller1,Mobile App,
dnair,Billing & Invoicing,
dsingh,Vehicle Sales Interface,
dsmith,Productivity,
dsmith1,Fleet Entity Management,
dsmith2,Software Subscriptions,
dsmith4,Service Cloud Integrations,
dsmith5,Catalog Management,
dsmith5,Software Fulfillment,
dtaylor,Customer Relationship Management,
dtaylor,Salesforce Enablement,
dtaylor1,Security Enablement,
dtaylor3,Content and Brand Marketing,
dverma,Integrated Campaign Analytics,
dverma1,Pro 360 API,
dyoung,Ford Pro Gateway,
eanders1,Ford Pro Gateway,
eanders2,Upfitters and Converters,
eanders2,Vehicle & Upfit Metrics,
eanders3,Vehicles & Revenue Management,
eanderso,Platform  Foundations,
ebell,Fulfillment,
ebrooks,Case Management Workflows,
ebrown,Marketplace,
ebrown1,Mobile Service EU,
eclark,Identity Enablement,
edavis,CRM Data Interfaces,
edavis1,Integrated Campaign Analytics,
edavis2,"Authenticated Customer, Fleet Site Migration",
edavis3,Tools App,
efoster,Sales & Service Cloud,
eharris,Vehicle Storefront,
eharris2,eCommerce,
eharris3,Data Science - Service & Parts,
eharris3,Vehicles & Revenue Management,
ejohnso1,FORDLiive Global (Fleet & Service),
ejohnso1,FordLiive Global,
ejohnso2,Access Management,
ejohnson,Software Subscriptions,
ejones,CADB migration,
ejones,Salesforce Data Interface,
eking,EU Commercial Deals,
emartin1,Incident Management,
emartin2,Global Fleet Identification Number,
emartin3,CRM Data Quality,
emartine,Upfitter Enablement,
emiller,Customer Profiling,
emiller,Data Science - Service & Parts,
emiller1,Payment,
emiller2,BEV Fit Tools,
emiller3,Observability,
emiller4,Content and Brand Marketing,
emiller5,Pro 360 API,
emiller6,Data Ingestion and Transformation,
ephillip,DaaS - Service cloud,
esmith,Upfitter Enablement,
esmith1,User Growth,
esmith2,Charging Metrics,
esmith3,Data Science - Service & Parts,
esmith4,Agent Led Sales,
etaylor,Order Management,
etaylor1,CADB migration,
etaylor1,Data Services,
etaylor2,Order Management,
etaylor3,Notifications,
etaylor4,Quote to Order,
etaylor5,Catalog Management,
etaylor5,Order Management,
etaylor6,FORDLiive Global (Fleet & Service),
ewalker,Fleet Customer Management,
ewilliam,Productivity,
ewilson,Subscription Management,
ewilson1,Order Management,
ewilson2,Productivity,
ewilson3,Uptime,
ewilson5,Upfitter Enablement,
ganders1,Quote to Order,
ganderso,Service & Parts Metrics,
gcook,Converter Collaborator,
gdavis,Customer Profiling,
gdesai,Content Management (AEM for authoring and CMS),
ggupta,Customer Profiling,
gharris,Ford Pro Gateway,
gharris1,Content and Brand Marketing,
gharris2,Analytics.fordpro.com,
gharris2,Business Intelligence,
gharris2,Metrics Engineering and Tools,
giyer,Productivity,
giyer1,Fleet & Service,
gjohnson,Marketing & CX,
gmartin,Content and Brand Marketing,
gmartin1,Business Intelligence,
gmartine,FORDLiive Global (Fleet & Service),
gmiller,Incident Management,
gmitchel,Uptime,
gmoore,"Authenticated Customer, Fleet Site Migration",
gpatel,Used Vehicle - Offering Management,
gsmith,FORDLiive EU,
gsmith,FORDLiive Global (Fleet & Service),
gsmith,FORDLiive – Dealer Availability Display (DAD),
gsmith,FORDLiive+ Customer Value Demonstrator (CVD),
gsmith,FordLiive Global,
gsmith,Maintain & Repair,
gsmith1,"Authenticated Customer, Fleet Site Migration",Software Engineer
gsmith1,Tools App,
gsmith2,Fleet Entity Management,
gtaylor,Access Management,
gtaylor1,Security Enablement,
gtaylor2,Mobile Service EU,
gwilliam,Vehicle Storefront,
gwilson,Uptime,
gwilson1,Integrated Campaign Analytics,
gwilson2,Upfitter Enablement,
handers1,Marketplace,
handers2,Tools App,
handers3,eCommerce,
handerso,Software Fulfillment,
hbrown,Data Governance,
hdavis,Content and Brand Marketing,
hharris,Subscription Management,
hjohnso1,Platform Validation,
hjohnso2,Ford Pro Gateway,
hjohnson,Notifications,
hjones,API Registration & Validation,
hjones,DevSecOps Enablement,
hjones1,Fleet.ford.com,
hmartin1,Mobile Service EU,
hmartin2,Subscription Management,
hmartin3,Billing & Payments,
hmartin3,Fulfillment,
hmartine,Drive & Operate,
hmiller,Analytics,
hnair,FordLiive Retooling,
hparker,Platform Validation,
hpatel,Mobile App,
hpillai,Ford Pro Gateway,
hsmith,Configuration Engine,
hsmith1,Upfit Tools,
hsmith2,Software Subscriptions,
hsmith3,Platform Validation,
hsmith4,Storefront,
hsmith5,Data Domain Modeling,
hsmith5,Data as a service,
htaylor,eCommerce,
htaylor1,Search & Locate,
htaylor2,Fleet Parts & Services Billing,
hwilson,Site Analytics,
ianderso,Drive & Operate,
ianderso,Managed Maintenance,
ibrown,Fleet Entity Management,
iharris,Vehicle Storefront,
iharris1,Converter Collaborator,
iharris2,Mobile Service EU,
ijohnson,Order Management,
imartine,Agent Led Sales,
ireddy,Productivity,
ismith,Content Management (AEM for authoring and CMS),
ithakur,Search & Locate,
iwood,Observability,
janders1,Fleet Customer Management,
janders1,Global Fleet Identification Number,
janderso,Payment,
janderso,Usage Management,
jbaker,Identity Service,
jbrown,Subscription Management,
jbrown1,Core App,
jbrown2,CCoE Analytics,
jbrown2,ProTech GPT,
jchoudha,Vehicles & Revenue Management,
jdavis,Title & Registration Services,
jdavis1,Content Management (AEM for authoring and CMS),
jdavis2,Observability,
jdavis3,Identity Service,
jgray,Content Management (AEM for authoring and CMS),
jharris,Maintain & Repair,
jharris2,Usage Management,
jharris3,Incident Management,
jharris4,Common eXperience Components,
jjohnso1,NA Commercial Deals,
jjohnso2,Search & Locate,
jjohnso3,Global Fleet Identification Number,
jjohnso4,Pro 360 API,
jjohnson,Inventory Management,
jjones,Integrated Campaign Analytics,
jjones1,Service Cloud Modernization,
jjones2,Inventory Management,
jking,Cybersecurity,
jmalhotr,Global Fleet Identification Number,
jmartin1,Upfit Tools,
jmartin2,Billing & Payments,
jmartin3,Global Fleet Identification Number,
jmartine,Site Analytics,
jmiller,EU Commercial Deals,
jmiller1,CRM Customer Data,
jmiller2,Common eXperience Components,
jmiller3,Customer Profiling,
jmiller4,Configure Price Quote,
jmiller4,Modernization,
jmiller4,Sales & Service Cloud,
jpatel,Catalog Management,
jross,Ordering,
jross,Quote to Order,
jsharma,Core App,
jsmith,Agent Led Sales,
jsmith1,Catalog Management,
jsmith2,CRM Pre-Build,
jsmith3,Global Fleet Identification Number,
jsmith4,Identity Enablement,
jsmith5,CRM Pre-Build,
jsmith5,Modernization,
jsmith5,Salesforce Enablement,
jsmith6,Vehicle Sales Interface,
jtaylor,Observability,
jtaylor1,Software Subscriptions,
jtaylor2,Software Subscriptions,
jtaylor3,Fleet & Service,
jtaylor4,Title & Registration Services,
jtaylor5,Platform Validation,
jtaylor6,Subscription Management,
jtaylor7,Platform Validation,
jward,User Growth,
jwilliam,DevSecOps Enablement,
jwilson,Platform Validation,
jwilson1,Equipment Management,
jwilson2,Order Management,
jwilson3,"Authenticated Customer, Fleet Site Migration",
jwilson3,Tools App,
jwilson4,Converter Collaborator,
jwood,Integrated Campaign Analytics,
jyoung,Marketing & CX,
kanderso,Sales Solutions,
kdavis,Identity Service,
kharris,CRM Data Quality,
kjohnson,Subscription Management,
kjoshi,Configuration Engine,
kjoshi1,Incentive & Bids Dashboards,
kkapoor,"Authenticated Customer, Fleet Site Migration",
kkapoor,Tools App,
kkapoor1,CRM Pre-Build,
kkapoor2,CRM Data Interfaces,
kmoore,Build and Price,
knarayan,Web App,
kparker,Data Ingestion and Transformation,
kparker,Pro 360 API,
kprasad,Integrated Campaign Analytics,
kshah,Maintain & Repair,
kshah,Mobile Service NA,
ksharma,Vehicles & Revenue Management,
ksingh,Tools App,
ksmith,Billing & Payments,
ksmith,Marketplace Admin,
ksmith,Online Marketplace,
ktaylor,Productivity,
ktaylor1,Site Analytics,
kverma,BEV Fit Tools,
kverma,User Growth,
kwalker,Notifications,
landers1,Upfitters and Converters,
landerso,Platform Validation,
lbailey,Platform  Foundations,
lbrown1,CRM Pre-Build,
ldavis,Metrics Engineering and Tools,
ldavis1,Usage Management,
lfoster,Vehicle Sales Interface,
lhall,Fleet Subscription Interface,
lharris,EU Commercial Deals,
lharris1,BEV Fit Tools,
lharris2,Content Management (AEM for authoring and CMS),
lharris3,Security Protection and Monitoring,
lharris4,Fleet Parts & Services Billing,
lhill,Billing & Invoicing,
ljohnso1,Fleet Customer Management,
ljohnso2,Vehicles & Revenue Management,
ljohnso3,Payment,
ljohnso4,Upfitters and Converters,
ljohnso4,Vehicle & Upfit Metrics,
ljohnson,CCoE Analytics,
ljohnson,Service Cloud Modernization,
ljones,Build and Price,
ljones1,Content and Brand Marketing,
ljones2,ProTech GPT,
ljoshi,Ordering,
lmartin1,Data Ops,
lmartin2,Security Protection and Monitoring,
lmiller,Global Fleet Identification Number,
lmiller1,Charging Metrics,
lmiller2,"Authenticated Customer, Fleet Site Migration",
lmiller3,B2BCRM,
lmiller3,Sales & Service Cloud,
lmiller4,Web App,
lrogers,Platform  Foundations,
lrussell,Analytics.fordpro.com,
lrussell,Title & Registration Services,
lscott,CRM Data Quality,
lsmith,Identity Modernization,
lsmith1,Vehicle Charging & Utilization,
lsmith2,Tools App,
lsmith4,User Growth,
lsmith5,Business Intelligence,
lsmith5,Service & Parts Metrics,
lsmith6,Notifications,
ltaylor,Mobile Service NA,
ltaylor2,Identity Service,
ltaylor3,CRM Pre-Build,
lturner,"Authenticated Customer, Fleet Site Migration",
lwhite,BEV Fit Tools,
lwilson,Billing & Payments,
lwilson1,Productivity,
lwilson2,Configure Price Quote,
magarwal,Productivity,
magrawa1,Identity Service,
magrawal,Incident Management,
manders1,Case Management Workflows,
manders2,eCommerce,
manders3,Title & Registration Services,
manderso,Sales & Service Cloud,
mbrooks,Inventory Management,
mbrown,FORDLiive Global (Fleet & Service),
mbrown1,FordLiive Global,
mbrown2,CCoE Analytics,
mbrown2,Data Science - Service & Parts,
mbrown3,CRM Data Quality,
mdavis,Data Ops,
mdavis1,Data Services - CRM and Martech,
mdavis2,CADB migration,
mdavis3,EU Commercial Deals,
mdesai,BEV Fit Tools,
mgreen,CADB migration,
mgreen1,Search & Locate,
mharris,Customer Relationship Management,
mharris,Salesforce Enablement,
mharris1,Payment,
mharris2,Data Science - Service & Parts,
mharris3,Software Fulfillment,
mharris4,Equipment Management,
mhughes,Uptime,
miyer,"Authenticated Customer, Fleet Site Migration",
mjohnso1,Core App,
mjohnso2,Case Management Workflows,
mjohnso3,Core App,
mjohnso4,Integrated Campaign Analytics,
mjones,Case Management Workflows,
mkapoor,Upfitter Enablement,
mmartine,Security Protection and Monitoring,
mmehta,Global Fleet Identification Number,
mmiller,Case Management Workflows,
mmiller1,Quote to Order,
mmiller2,Sales Solutions,
mnair,Upfit Tools,
mpatel,Mobile App,
mrao,Mobile Service EU,
msharma,DaaS - Service cloud,
msharma,Data Discovery,
msharma,Data Domain Modeling,
msharma,Data as a service,
msharma1,Marketplace Admin,
msmith,Agent Led Sales,
msmith1,Charging Metrics,
msmith2,Government Deals,
msmith3,Government Deals,
msmith3,NA Commercial Deals,
msmith4,Upfit Tools,
mtaylor,Uptime,
mtaylor1,Vehicle & Upfit Metrics,
mtaylor2,Common eXperience Components,
mtaylor4,Vehicle & Upfit Metrics,
mthakur,CRM Pre-Build,
mwilliam,FordLiive Retooling,
mwilson,Data Services - CRM and Martech,
mwilson1,Fleet.ford.com,
mwilson2,Fleet Customer Management,
nanderso,Uptime,
nbrown,Platform Engineering,
nbutler,Search & Locate,
ndavis1,CRM Customer Data,
ndavis2,Fleet Parts & Services Billing,
ndesai,Billing & Invoicing,
ngupta,Access Management,
njohnson,Data Science,
njones,Common eXperience Components,
njoshi,Agent Led Sales,
nkhan,Mobile Service NA,
nkumar,Usage Management,
nmartin1,Identity Enablement,
nmartine,Productivity,
nmiller,Content Management (AEM for authoring and CMS),
npatel,Vehicle Storefront,
nreddy,Managed Maintenance,
nsaxena,Core App,
nshah,Government Deals,
nsharma,Pro 360 API,
nsingh,Upfitters and Converters,
nsmith,CRM Core,
ntaylor,Pro360 Data Foundations,
ntaylor1,Billing & Invoicing,
nturner,Marketplace,
nverma,Incident Management,
nwilliam,Incident Management,
nwilson,DevSecOps Enablement,
ogray,Service Cloud Integrations,
ojones,Identity Service,
omartine,Common eXperience Components,
omiller,FinSimple - Modernization,
otaylor,Pro360 Data Foundations,
owilliam,Billing & Invoicing,
panderso,Ordering,
pbrown,CRM Pre-Build,
pbrown1,Marketplace Admin,
pcarter,Integrated Campaign Analytics,
pcox,Used Vehicle - Inventory Management,
pcox,Used Vehicle - Offering Management,
pdas,Uptime,
pdavis,Billing & Invoicing,
pdavis,Fleet Parts & Services Billing,
pdavis,Payment,
pdesai1,FordLiive Global,
pdubey,Fleet Entity Management,
pharris,EU Commercial Deals,
phill,EU Commercial Deals,
piyer,Pro 360 API,
pjones,CRM DevOps,
pmalhot1,Drive & Operate,
pmalhot1,Maintain & Repair,
pmalhot1,Managed Maintenance,
pmalhotr,Platform Validation,
pmartine,Platform Validation,
pmenon,Uptime,
pnair,DevSecOps Enablement,
ppatel,Case Management Workflows,
psen,CRM Data Interfaces,
pshah,NA Commercial Deals,
pshah1,Sales & Service Cloud,
psingh,Core App,
psingh1,Vehicle Storefront,
psmith,FordLiive Global,
psmith1,Productivity,
psmith2,Title & Registration Services,
psmith3,Online Marketplace,
pwilson,Core App,
qmartine,Upfitter Enablement,
qwilson,Content Management (AEM for authoring and CMS),
ragrawa1,Configure Price Quote,
ragrawal,NA Commercial Deals,
randerso,EU Commercial Deals,
rchoudhu,Content and Brand Marketing,
rdavis,Content and Brand Marketing,
rdesai,Productivity,
revans,Incentive & Bids Dashboards,
rfoster,Uptime,
rfoster1,Sales & Service Cloud,
rharris,Fleet Parts & Services Billing,
rharris1,BEV Fit Tools,
rharris2,Model Ops,
rharris2,Vehicle Charging & Utilization,
riyer,Configure Price Quote,
riyer1,Storefront,
rjohnso1,Integrated Campaign Analytics,
rjohnson,Sales Management,
rjones,User Growth,
rjones1,Content Management (AEM for authoring and CMS),
rjones2,FordLiive Retooling,
rkapoor,Managed Maintenance,
rkhanna,Quote to Order,
rmalhotr,Case Management Workflows,
rmartin,Service & Parts Metrics,
rmartine,CRM Data Quality,
rmehra,Vehicle Sales Interface,
rmehta,B2BCRM,
rmehta1,Incentives and Bids,
rmehta2,BEV Fit Tools,
rpatel,Fleet Subscription Interface,
rprice,FordLiive Global,
rreddy,Productivity,
rreed,Global Fleet Identification Number,
rsingh,Search & Locate,
rsingh1,Vehicle Sales Interface,
rsinghan,Ordering,
rsmith,Identity Service,
rsmith1,Vehicle Charging & Utilization,
rsmith2,CRM Data Interfaces,
rsmith3,Case Management Workflows,
rsmith4,Dealer Led Sales,
rsmith5,Platform Engineering,
rsoman,Vehicle Charging & Utilization,
rsriniva,Upfit Tools,
rtaylor,FORDLiive Global (Fleet & Service),
rtaylor,Uptime,
rtrivedi,Data Discovery,
rtrivedi,Data Ingestion and Transformation,
rwalker,CRM DevOps,
rwilson,Uptime,
rwilson1,Order Management,
sallen,Usage Management,
sanders1,Reports & Dashboards,
sanders2,Incident Management,
sanders3,User Growth,
sanders4,Content and Brand Marketing,
sanderso,BEV Fit Tools,
sbell,NA Commercial Deals,
sbennett,Managed Maintenance,
sbrown,CRM Data Interfaces,
sbrown1,CRM Customer Data,
sbrown2,Service & Parts Metrics,
schoudha,Managed Maintenance,
sdasgupt,Fleet Entity Management,
sdavis,CADB migration,
sdavis1,Data Ingestion and Transformation,
sdavis2,Platform  Foundations,
sdavis3,Inventory Management,
sdesai,Pro 360 API,
sdeshmuk,Salesforce Data Interface,
sgupta,Platform Enablement,
shall,Analytics.fordpro.com,
sharris,Notifications,
sharris2,Payment,
sharris3,Title & Registration Services,
sjain,Quote to Order,
sjohnso1,Government Deals,
sjohnso2,Sales & Service Cloud,
sjohnso3,Vehicle Sales,
sjohnso4,Core App,
sjohnso5,Upfit Tools,
sjohnso6,Modernization,
sjohnson,CRM Data Quality,
sjones,Software Subscriptions,
sjoshi,Platform Validation,
skapoor,Identity Service,
skapoor1,Business Intelligence,
skapoor1,FordLiive Global,
skumar,BEV Fit Tools,
skumar1,Software Fulfillment,
skumar2,Sales Management,
smartin1,FordLiive Retooling,
smartin2,CRM Foundations,
smartin3,Global Fleet Identification Number,
smartine,Configuration Engine,
smartine,Vehicle Sales,
smehta,Quote to Order,
smehta1,EU Commercial Deals,
smehta2,FORDLiive Global (Fleet & Service),
smenon,Usage Management,
smiller,Vehicle Sales Interface,
smitchel,Data Services,
snair,Global Fleet Identification Number,
snair1,Identity Service,
spatel,Common eXperience Components,
spatel,Ford Pro Gateway,
spatel1,Data Science,
sraman,Tools App,
srao,Mobile Service EU,
srao1,Analytics.fordpro.com,
srao1,Common eXperience Components,
srao1,Ford Pro Gateway,
sreed,Analytics.fordpro.com,
ssaxena,Content Management (AEM for authoring and CMS),
sshah,Upfitter Enablement,
sshah1,Platform Validation,
ssharma,Productivity,
ssingh,Order Management,
ssmith,Identity Enablement,
ssmith1,Uptime,
ssmith2,Fleet.ford.com,
ssmith2,Site Analytics,
ssmith2,Storefront,
ssmith3,CRM DevOps,
ssuri,Vehicles & Revenue Management,
staylor1,Vehicle Charging & Utilization,
staylor2,Service & Parts Metrics,
staylor3,Incentive & Bids Dashboards,
staylor4,Fleet Entity Management,
sthakur1,Integrated Customer Experience,
sthakur2,Data Governance,
sturner,Content Management (AEM for authoring and CMS),
sverma1,Data Science,
swillia1,Data Science - Service & Parts,
swillia1,Model Ops,
swilliam,Vehicle Charging & Utilization,
swilson,Service & Parts Metrics,
swilson1,Payment,
swilson2,Billing & Invoicing,
swright,CADB migration,
tbrown,Agent Led Sales,
tdavis,Fleet Customer Management,
tdavis,Ordering,
tjohnso1,Fleet & Service,
tjohnson,Vehicles & Revenue Management,
tmiller,Fleet Entity Management,
treed,Government Deals,
treed,Incentive & Bids Dashboards,
tsaxena,Title & Registration Services,
tsharma,Platform Validation,
tsharma1,Analytics.fordpro.com,
tsmith,Software Fulfillment,
tsmith1,Dealer Led Sales,
tsmith2,FORDLiive Global (Fleet & Service),
tsmith2,FORDLiive – Dealer Availability Display (DAD),
tsmith2,FORDLiive+ Customer Value Demonstrator (CVD),
ttaylor,Service & Parts Metrics,
ttaylor2,Notifications,
ttaylor3,Common eXperience Components,
twilson,Case Management Workflows,
twilson,Service Cloud Integrations,
uchoudha,FORDLiive Global (Fleet & Service),
usriniva,Title & Registration Services,
vbajaj,B2BCRM,
vbrown,Content Management (AEM for authoring and CMS),
vbrown1,FordLiive Retooling,
vchoudhu,Inventory Management,
vcox,Billing & Invoicing,
vgupta,CRM Data Quality,
vharris,CADB migration,
vjohnson,Converter Collaborator,
vjones,Fleet Subscription Interface,
vkumar,BEV Fit Tools,
vmalhotr,Software Subscriptions,
vmathur,Mobile Service EU,
vnair,Sales Solutions,
vpatel,Tools App,
vpatel1,Identity Enablement,
vpatel2,Equipment Management,
vprasad,Mobile Service EU,
vrao,Tools App,
vreddy,Fleet Subscription Interface,
vsharma,Uptime,
vtaylor,Used Vehicle - Inventory Management,
vverma,FORDLiive Global (Fleet & Service),
vverma,FORDLiive – Dealer Availability Display (DAD),
vverma,FORDLiive+ Customer Value Demonstrator (CVD),
vverma,Inventory Management,
vverma,Mobile Service EU,
vwilson,Data Services - CRM and Martech,
vyadav,Quote to Order,
wanderso,Uptime,
wdavis,Tools App,
wdavis1,Incentive & Bids Dashboards,
wdavis2,Vehicle Storefront,
wharris,Data Ops,
wjohnso1,Charging Metrics,
wjohnson,Analytics,